host,psnr,ssim_first,ssim_second,type
h1,38.293199,0.997075,25.338352,2.0
h2,39.783083,0.998489,28.207368,2.0
h3,37.345154,0.99804,27.078139,2.0
h4,39.783083,0.998489,28.207368,2.0
h5,39.670375,0.998219,27.492993,2.0
h6,40.699238,0.998603,28.549516,2.0
h1,39.813833,0.997577,26.156679,2.0
h2,39.783083,0.998489,28.207368,2.0
h3,39.783083,0.998489,28.207368,2.0
h4,39.783083,0.998489,28.207368,2.0
h5,39.783083,0.998489,28.207368,2.0
h6,21.654234,0.851591,8.285407,2.0
h1,38.240636,0.997826,26.628363,2.0
h2,32.48739,0.991271,20.590219,2.0
h3,38.984799,0.998237,27.538259,2.0
h4,37.962055,0.997104,25.382144,2.0
h5,39.783083,0.998489,28.207368,2.0
h6,17.613023,0.734268,5.755557,2.0
h1,36.717955,0.996948,25.154197,2.0
h2,39.783083,0.998489,28.207368,2.0
h3,36.523551,0.995951,23.926099,2.0
h4,39.783083,0.998489,28.207368,2.0
h5,37.265123,0.996768,24.905245,2.0
h6,37.579463,0.996812,24.964301,2.0